epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.18824,1.55829,3.34905,2.06603,0.00387,0.51567,0.0214,0.00937,2.30248,3.36341,2.79753,0.0011,0.0011,0.0011
2,9.00959,1.52487,3.36497,1.97771,0.0032,0.44338,0.02111,0.00844,2.38205,3.39459,2.84075,0.00225446,0.00225446,0.00225446
3,12.8022,1.32133,3.22547,1.7907,0.00325,0.43447,0.02772,0.00916,2.44979,3.3462,2.9172,0.0033614,0.0033614,0.0033614
4,16.3094,1.37192,3.16542,1.79979,0.00383,0.55484,0.04039,0.00963,2.22695,3.37313,2.76569,0.00442082,0.00442082,0.00442082
5,19.8115,1.28285,3.08977,1.70918,0.00362,0.53632,0.04796,0.01499,2.19801,3.34601,2.74591,0.00543272,0.00543272,0.00543272
6,24.4559,1.27897,3.05507,1.71641,0.00331,0.47614,0.07206,0.02871,2.14862,3.34153,2.63927,0.0063971,0.0063971,0.0063971
7,28.3103,1.23709,3.0114,1.71328,0.00331,0.47614,0.07206,0.02871,2.14862,3.34153,2.63927,0.00731396,0.00731396,0.00731396
8,31.9543,1.30442,2.94432,1.68483,0.00353,0.51781,0.06031,0.02404,2.2916,3.3658,2.64266,0.0081833,0.0081833,0.0081833
9,35.5057,1.40321,3.04492,1.7672,0.0037,0.51318,0.05046,0.01842,2.25388,3.33158,2.61863,0.008416,0.008416,0.008416
10,39.0743,1.21118,2.84813,1.6442,0.81943,0.0324,0.11126,0.04636,2.25822,3.28759,2.5959,0.008218,0.008218,0.008218
11,42.5767,1.302,2.82211,1.70175,0.81943,0.0324,0.11126,0.04636,2.25822,3.28759,2.5959,0.00802,0.00802,0.00802
12,45.9154,1.32366,2.88518,1.66666,0.75329,0.05556,0.07127,0.02231,2.31882,3.25092,2.66265,0.007822,0.007822,0.007822
13,49.3895,1.27621,2.72513,1.65279,0.81185,0.05556,0.07643,0.02194,2.29742,3.23375,2.69902,0.007624,0.007624,0.007624
14,53.1336,1.32942,2.70827,1.73941,0.80166,0.09259,0.06999,0.02004,2.18677,3.22243,2.62334,0.007426,0.007426,0.007426
15,56.3339,1.33268,2.57711,1.68195,0.80166,0.09259,0.06999,0.02004,2.18677,3.22243,2.62334,0.007228,0.007228,0.007228
16,59.9421,1.25139,2.38375,1.64773,0.40954,0.07407,0.05958,0.01972,2.07092,3.34718,2.52478,0.00703,0.00703,0.00703
17,63.1399,1.40974,2.43958,1.74185,0.81179,0.09259,0.08898,0.02699,2.26211,3.27569,2.66898,0.006832,0.006832,0.006832
18,66.8813,1.26042,2.22198,1.66179,0.40283,0.07407,0.1048,0.02794,2.29371,3.24236,2.69544,0.006634,0.006634,0.006634
19,70.3967,1.2987,2.30608,1.69694,0.40283,0.07407,0.1048,0.02794,2.29371,3.24236,2.69544,0.006436,0.006436,0.006436
20,74.3979,1.28206,2.19989,1.59153,0.42622,0.09972,0.06095,0.01886,2.20987,3.29831,2.6959,0.006238,0.006238,0.006238
21,78.1747,1.27726,2.28161,1.643,0.17599,0.19516,0.10189,0.04341,2.45056,6.30009,2.98355,0.00604,0.00604,0.00604
22,82.0583,1.18439,2.13177,1.58327,0.57416,0.17663,0.14772,0.04322,2.39088,3.3002,2.88786,0.005842,0.005842,0.005842
23,85.9011,1.16783,2.14859,1.5613,0.57416,0.17663,0.14772,0.04322,2.39088,3.3002,2.88786,0.005644,0.005644,0.005644
24,89.6375,1.28836,2.20864,1.67895,0.46183,0.151,0.08079,0.03175,2.3338,3.59542,2.94665,0.005446,0.005446,0.005446
25,92.9847,1.185,1.96225,1.66457,0.52104,0.16952,0.1408,0.05391,2.34807,3.86141,2.83869,0.005248,0.005248,0.005248
26,96.4528,1.29388,2.18277,1.68856,0.48596,0.16952,0.0896,0.03227,2.26404,3.16702,2.7099,0.00505,0.00505,0.00505
27,100.191,1.21007,2.0612,1.53255,0.48596,0.16952,0.0896,0.03227,2.26404,3.16702,2.7099,0.004852,0.004852,0.004852
28,103.178,1.32105,2.12845,1.66128,0.53672,0.20228,0.10684,0.04697,2.32851,3.2128,2.71406,0.004654,0.004654,0.004654
29,106.97,1.24342,1.92217,1.56814,0.59814,0.2094,0.145,0.06951,2.21013,3.09188,2.55023,0.004456,0.004456,0.004456
30,110.22,1.19015,2.07306,1.57603,0.63302,0.22792,0.18115,0.08585,2.19277,3.13169,2.55831,0.004258,0.004258,0.004258
31,113.567,1.09927,1.86319,1.53346,0.63302,0.22792,0.18115,0.08585,2.19277,3.13169,2.55831,0.00406,0.00406,0.00406
32,117.227,1.07006,2.003,1.49072,0.60945,0.19088,0.17391,0.05652,2.19161,3.12335,2.54834,0.003862,0.003862,0.003862
33,120.588,0.98727,1.89612,1.45009,0.62742,0.2094,0.15969,0.06254,2.17878,3.09626,2.52823,0.003664,0.003664,0.003664
34,124.337,1.07492,1.86399,1.56074,0.58929,0.25356,0.18758,0.07253,2.20768,3.11076,2.61741,0.003466,0.003466,0.003466
35,128.277,1.11144,1.88357,1.4897,0.58929,0.25356,0.18758,0.07253,2.20768,3.11076,2.61741,0.003268,0.003268,0.003268
36,131.624,1.10969,1.82451,1.5645,0.64967,0.22792,0.21025,0.09267,2.12187,3.05806,2.53401,0.00307,0.00307,0.00307
